Site Name,Device Hostname,Device Description,Software,Version
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AppleSpell,2.4
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AppSSOAgent,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AquaAppearanceHelper,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Archive Utility,10.15
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,ARDAgent,3.9.8
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AskPermissionUI,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AskToMessagesHost,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Assistive Control,2
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Audio MIDI Setup,3.6
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AUDT_25_0_32,6.4.0.361
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AutoFillPanelService,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AutomationModeUI,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Automator,2.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Automator Application Stub,1.3
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Automator Installer,2.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AVB Configuration,1220.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AXVisualSupportAgent,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,BackgroundTaskManagementAgent,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Batteries,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Bluetooth File Exchange,9
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Bluetooth Setup Assistant,9
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,BluetoothUIServer,9
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,BluetoothUIService,1
